category,Instrument,Statut,Cours de référence,Ouverture,Dernier cours,Quantité échangée,Volume,Variation en %,+ haut jour,+ bas jour,Meilleur prix à l'achat,Meilleur prix à la vente,Quantité Meilleur prix à l'achat,Quantité Meilleur prix à la vente,Capitalisation,Nombre de transactions,date,time,timestamp_iso
Distributeurs,AUTO NEJMA,T,"4 600,00","4 875,00","4 875,00",1,"4 875,00","5,98 %","4 875,00","4 875,00","4 561,00",-,1,-,"4 988 412 000,00",1,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Distributeurs,ENNAKL,T,"59,25","60,00","59,50",12 877,"768 976,31","0,42 %","61,50","59,50","59,25","62,00",200,1 000,"1 785 000 000,00",73,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Distributeurs,FENIE BROSSETTE,T,"454,85","456,75","449,90",1 418,"634 312,05","-1,09 %","456,75","445,00","445,10","453,95",75,12,"647 398 901,60",76,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Distributeurs,LABEL VIE,T,"4 589,00","4 698,00","4 696,00",19,"89 106,00","2,33 %","4 698,00","4 562,00","4 566,00","4 694,00",1,10,"13 590 022 072,00",4,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Distributeurs,REALISATIONS MECANIQUES,N.T,"530,00",-,"530,00",-,-,"0,00 %",-,-,"507,10","530,00",200,5,"169 600 000,00",-,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Distributeurs,STOKVIS NORD AFRIQUE,T,"123,55","125,90","123,60",10 552,"1 306 969,65","0,04 %","125,95","123,00","123,50","126,00",50,335,"2 187 120 540,00",122,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Ingénieries et Biens d'Equipement Industriels,DELATTRE LEVIVIER MAROC,S,"40,00",-,"40,00",-,-,"0,00 %",-,-,-,-,-,-,"70 000 000,00",-,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Ingénieries et Biens d'Equipement Industriels,STROC INDUSTRIE,T,"330,00","333,00","332,90",1 337,"441 500,15","0,88 %","334,90","323,00","323,20","332,95",178,182,"415 630 643,50",73,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Participation et promotion immobilières,ALLIANCES,T,"603,20","610,00","618,10",78 488,"48 718 480,40","2,47 %","627,50","605,00","612,00","622,60",10,115,"13 646 775 242,80",589,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Participation et promotion immobilières,DOUJA PROM ADDOHA,T,"40,14","40,24","39,71",181 550,"7 226 824,10","-1,07 %","40,24","39,71","39,65","39,96",100,1 990,"15 985 310 296,34",141,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Participation et promotion immobilières,RESIDENCES DAR SAADA,T,"180,00","180,00","174,00",72 292,"12 695 885,15","-3,33 %","182,00","172,50","172,65","181,00",40,16,"4 560 339 900,00",483,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Loisirs et Hôtels,RISMA,T,"390,05","390,50","419,90",4 232,"1 770 606,50","7,65 %","419,90","390,20","390,40","419,90",26,95,"6 015 885 045,30",60,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Matériels Logiciels et Services Informatiques,DISTY TECHNOLOGIES,T,"377,00","370,05","375,00",82,"30 934,70","-0,53 %","386,00","370,05","370,80","385,95",5,4,"374 291 250,00",15,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Matériels Logiciels et Services Informatiques,DISWAY,T,"919,00","880,00","915,00",109,"96 238,70","-0,44 %","917,90","880,00","880,00","905,00",5,11,"1 725 472 230,00",13,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Matériels Logiciels et Services Informatiques,HPS,T,"542,00","529,00","545,00",15 203,"8 239 507,30","0,55 %","546,00","529,00","535,00","546,00",39,5,"4 036 373 550,00",56,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Matériels Logiciels et Services Informatiques,IB MAROC.COM,N.T,"80,00",-,"80,00",-,-,"0,00 %",-,-,"70,10","81,99",350,560,"33 398 880,00",-,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Matériels Logiciels et Services Informatiques,INVOLYS,T,"245,00","246,00","235,20",2 731,"646 616,40","-4,00 %","246,00","233,55","233,80","241,90",12,1,"90 014 803,20",33,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Matériels Logiciels et Services Informatiques,M2M Group,T,"477,00","477,10","477,10",5,"2 385,50","0,02 %","477,10","477,10","474,40","489,90",1,7,"309 054 406,70",1,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Matériels Logiciels et Services Informatiques,MICRODATA,T,"805,00","839,50","839,00",140,"117 547,60","4,22 %","840,10","839,00","801,50","839,00",2,7,"1 409 520 000,00",12,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Matériels Logiciels et Services Informatiques,S.M MONETIQUE,T,"625,00","628,90","610,00",521,"324 008,20","-2,40 %","629,00","610,00","599,10","610,00",10,436,"495 362 700,00",20,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Mines,MANAGEM,T,"6 200,00","6 235,00","6 200,00",1 015,"6 293 508,00","0,00 %","6 235,00","6 200,00","6 000,00","6 234,00",1,6,"73 560 991 200,00",9,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Mines,MINIERE TOUISSIT,T,"2 043,00","1 839,00","1 839,00",6 264,"11 519 496,00","-9,99 %","1 839,00","1 839,00","1 800,00","1 328,00",1,3,"3 091 787 487,00",83,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Mines,REBAB COMPANY,T,"107,85","110,00","110,00",61,"6 710,00","1,99 %","110,00","110,00","107,85","114,00",2,6,"19 410 160,00",6,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Mines,SMI,T,"2 599,00","2 600,00","2 561,00",145,"376 947,00","-1,46 %","2 648,00","2 561,00","2 561,00","2 600,00",2,6,"4 213 075 490,00",17,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Pétrole et Gaz,AFRIQUIA GAZ,T,"4 190,00","4 189,00","4 189,00",1,"4 189,00","-0,02 %","4 189,00","4 189,00","4 090,00","4 188,00",20,1,"14 399 687 500,00",1,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Pétrole et Gaz,SAMIR,S,"127,80",-,"127,80",-,-,"0,00 %",-,-,-,-,-,-,"1 520 777 187,00",-,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Pétrole et Gaz,TOTALENERGIES MARKETING MAROC,T,"1 850,00","1 851,00","1 850,00",1 004,"1 857 404,00","0,00 %","1 851,00","1 850,00","1 826,00","1 877,00",1,30,"16 576 000 000,00",4,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Industrie Pharmaceutique,PROMOPHARM S.A.,T,"1 425,00","1 380,00","1 380,00",1,"1 380,00","-3,16 %","1 380,00","1 380,00",-,"1 449,00",-,10,"1 380 000 000,00",1,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Industrie Pharmaceutique,SOTHEMA,T,"1 825,00","1 777,00","1 799,00",60,"108 062,00","-1,42 %","1 834,00","1 776,00","1 776,00","1 800,00",3,464,"12 952 800 000,00",8,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Sylviculture et Papier,MED PAPER,T,"30,60","31,80","30,26",2 711,"82 658,93","-1,11 %","31,80","30,20","30,23","31,90",140,150,"144 758 483,98",33,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Sociétés de financement et Autres Activités Financières,DIAC SALAF,S,"26,25",-,"26,25",-,-,"0,00 %",-,-,-,-,-,-,"27 651 855,00",-,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Sociétés de financement et Autres Activités Financières,EQDOM,T,"1 250,00","1 246,00","1 280,00",6,"7 386,00","2,40 %","1 280,00","1 215,00","1 215,00","1 289,00",26,500,"2 137 920 000,00",3,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Sociétés de financement et Autres Activités Financières,MAGHREBAIL,N.T,"945,00",-,"945,00",-,-,"0,00 %",-,-,"916,10","949,90",10,3,"1 308 051 990,00",-,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Sociétés de financement et Autres Activités Financières,MAROC LEASING,T,"382,00","360,15","360,15",8,"2 881,20","-5,72 %","360,15","360,15","357,05","382,00",30,7,"1 000 052 995,20",1,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Sociétés de financement et Autres Activités Financières,SALAFIN,T,"599,00","575,00","575,00",1 949,"1 120 675,00","-4,01 %","575,00","575,00","571,20","623,00",40,18,"1 796 368 425,00",18,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Sociétés de Portefeuilles / Holdings,DELTA HOLDING,T,"79,94","79,00","78,20",11 602,"912 032,97","-2,18 %","80,20","78,20","78,01","80,50",100,2,"6 850 320 000,00",89,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Sociétés de Portefeuilles / Holdings,ZELLIDJA S.A,N.T,"214,00",-,"214,00",-,-,"0,00 %",-,-,"210,00","263,00",50,10,"122 589 686,00",-,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Télécommunications,ITISSALAT AL-MAGHRIB,T,"117,60","118,00","115,95",132 436,"15 427 130,40","-1,40 %","118,00","115,95","115,40","119,00",30,500,"101 931 104 673,00",324,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Transport,CTM,T,"903,00","901,20","918,00",100,"90 222,10","1,66 %","919,00","900,00","900,00","924,00",2,40,"1 125 447 804,00",15,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Santé,AKDITAL,T,"1 411,00","1 415,00","1 390,00",8 282,"11 590 310,00","-1,49 %","1 427,00","1 390,00","1 385,00","1 406,00",10,5,"19 681 297 730,00",258,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Santé,VICENNE,T,"509,70","510,00","498,00",10 907,"5 476 135,50","-2,30 %","510,00","498,00","497,50","508,00",37,39,"5 108 907 300,00",309,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
Industrie Agricole,CMGP GROUP,T,"378,90","375,20","375,00",2 935,"1 102 750,40","-1,03 %","378,90","375,00","374,20","375,00",70,486,"6 375 337 500,00",107,2025-11-07,16:44:31,2025-11-07T16:44:31.969406+01:00
